sample	pop
SRR3740249	Lockhart__2001_1
SRR3740250	Lockhart__2001_1
SRR3740251	Lockhart__2001_1
SRR3740253	Lockhart__2001_1
SRR3740254	Lockhart__2001_1
SRR3740255	Lockhart__2001_1
SRR3740256	Lockhart__2001_1
SRR3740257	Lockhart__2001_1
SRR3740258	Lockhart__2001_1
SRR3740259	Lockhart__2001_1
SRR3740260	Lockhart__2001_1
SRR3740261	Lockhart__2001_1
SRR3740262	Lockhart__2001_1
SRR3740263	Lockhart__2001_1
SRR3740273	Lockhart__2001_1
SRR3740284	Lockhart__2001_1
SRR3740295	Lockhart__2001_1
SRR3740308	Lockhart__2001_1
SRR3740319	Lockhart__2001_1
SRR3740330	Lockhart__2001_1
SRR3740341	Lockhart__2001_1
WAI1002	Horsham__2013_1
WAI1006	Horsham__2013_1
WAI1008	Horsham__2013_1
WAI1012	Horsham__2013_1
WAI1060	Horsham__2013_1
WAI1072	Horsham__2013_1
WAI1272	Horsham__2013_1
WAI147_SRR2866536	Wagga__2002_1
WAI1641	Penola__2014_1
WAI1643	Penola__2014_1
WAI1646	Penola__2014_1
WAI1652	Penola__2014_1
WAI1657	Penola__2014_1
WAI1658	Penola__2014_1
WAI1659	Penola__2014_1
WAI1662	Penola__2014_1
WAI1667	Penola__2014_1
WAI1669	Penola__2014_1
WAI1691	Penola__2014_1
WAI1696	Penola__2014_1
WAI1698	Penola__2014_1
WAI1718	Penola__2014_1
WAI1724	Penola__2014_1
WAI1728	Penola__2014_1
WAI1730	Penola__2014_1
WAI1741	Penola__2014_1
WAI1745	Penola__2014_1
WAI1820	Westbury__2014_1
WAI1822	Westbury__2014_1
WAI1848	Deloraine__2014_1
WAI1849	Deloraine__2014_1
WAI1850	Wynyard__2014_1
WAI1851	Wynyard__2014_1
WAI1852	Wynyard__2014_1
WAI1858	Wynyard__2014_1
WAI1859	Wynyard__2014_1
WAI1875	Deloraine__2014_1
WAI1876	Cressy__2014_1
WAI1877	Cressy__2014_3
WAI1878	Cressy__2014_3
WAI1879	Cressy__2014_3
WAI1880	Cressy__2014_3
WAI1882	Cressy__2014_3
WAI1892	Deloraine__2014_1
WAI1895	Westbury__2014_1
WAI1901	Westbury__2014_1
WAI1903	Westbury__2014_1
WAI1904	Westbury__2014_1
WAI1919	Westbury__2014_1
WAI1922	Westbury__2014_1
WAI1939	Westbury__2014_1
WAI1941	Westbury__2014_1
WAI1955	Westbury__2014_1
WAI1957	Westbury__2014_1
WAI1965	Cressy__2014_4
WAI1966	Cressy__2014_4
WAI1967	Cressy__2014_4
WAI1968	Cressy__2014_4
WAI1969	Cressy__2014_4
WAI1970	Cressy__2014_4
WAI1970D	Cressy__2014_1
WAI1971	Cressy__2014_4
WAI1972	Cressy__2014_4
WAI1993	Cressy__2014_1
WAI1998	Cressy__2014_1
WAI2000	Cressy__2014_1
WAI2029	Cressy__2014_1
WAI2031	Cressy__2014_1
WAI2045	Cressy__2014_1
WAI2047	Cressy__2014_1
WAI2059	Cressy__2014_1
WAI2060	Cressy__2014_1
WAI2061	Cressy__2014_1
WAI2073	Cressy__2014_1
WAI2077	Cressy__2014_1
WAI2203	Cressy__2014_2
WAI2204	Cressy__2014_2
WAI2206	Cressy__2014_2
WAI2208	Cressy__2014_2
WAI2210	Cressy__2014_2
WAI2216	Cressy__2014_2
WAI2226	Cressy__2014_2
WAI2228	Cressy__2014_2
WAI2230	Cressy__2014_2
WAI2232	Cressy__2014_2
WAI2827	Henty__2016_1
WAI2841	Henty__2016_1
WAI2843	Henty__2016_1
WAI2845	Henty__2016_1
WAI2849	Henty__2016_1
WAI2878	Beckom__2016_1
WAI2880	Beckom__2016_1
WAI2882	Henty__2016_1
WAI2889	Holbrook__2016_2
WAI2892	Beckom__2016_1
WAI2899	Beckom__2016_1
WAI2902	Beckom__2016_1
WAI2908	Coonawarra__2016_1
WAI2911	Coonawarra__2016_1
WAI2911R	Coonawarra__2016_1
WAI2914	Coonawarra__2016_1
WAI2918	Coonawarra__2016_1
WAI2921	Coonawarra__2016_1
WAI2925	Coonawarra__2016_1
WAI2928	Coonawarra__2016_1
WAI2932	Coonawarra__2016_1
WAI2935	Coonawarra__2016_1
WAI2941	Beckom__2016_1
WAI2944	Beckom__2016_1
WAI2946	Beckom__2016_1
WAI2949	Beckom__2016_1
WAI2950	Beckom__2016_1
WAI2951	Beckom__2016_1
WAI2956	Beckom__2016_1
WAI2962	Beckom__2016_1
WAI2970	Beckom__2016_1
WAI2971	Beckom__2016_1
WAI2974	Beckom__2016_1
WAI2976	Beckom__2016_1
WAI2978	Beckom__2016_1
WAI2984	Beckom__2016_1
WAI2987	Beckom__2016_1
WAI2992	Beckom__2016_1
WAI2995	Beckom__2016_1
WAI3001	Beckom__2016_1
WAI3002	Beckom__2016_1
WAI3004	Beckom__2016_1
WAI3009	Beckom__2016_1
WAI3011	Henty__2016_1
WAI3013	Beckom__2016_1
WAI3016	Henty__2016_1
WAI3017	Henty__2016_1
WAI3025	Methul__2016_1
WAI3032	Henty__2016_1
WAI3033	Henty__2016_1
WAI3035	Henty__2016_1
WAI3041	Henty__2016_1
WAI3043	Henty__2016_1
WAI3053	Henty__2016_1
WAI3054	Henty__2016_1
WAI3069	Henty__2016_1
WAI3071	Henty__2016_1
WAI3076	Henty__2016_1
WAI3079	Henty__2016_1
WAI3091	Henty__2016_1
WAI3093	Henty__2016_1
WAI3094	Henty__2016_1
WAI3095	Henty__2016_1
WAI3100	Henty__2016_1
WAI3167	Hamilton__2016_1
WAI3169	Hamilton__2016_1
WAI3171	Holbrook__2016_1
WAI3172	Holbrook__2016_1
WAI3173	Holbrook__2016_1
WAI3178	Holbrook__2016_1
WAI3179	Hamilton__2016_1
WAI3180	Hamilton__2016_1
WAI3189	Hamilton__2016_1
WAI3192	Hamilton__2016_1
WAI3194	Hamilton__2016_1
WAI3199	Hamilton__2016_1
WAI320	Wagga__1980_1
WAI3202	Hamilton__2016_1
WAI3205	Hamilton__2016_1
WAI3208	Hamilton__2016_1
WAI321	Inverleigh__2012_1
WAI3212	Hamilton__2016_1
WAI3214	Hamilton__2016_1
WAI3216	Hamilton__2016_1
WAI322	Burnie__2011_1
WAI3223	Hamilton__2016_1
WAI3226	Hamilton__2016_1
WAI323	Burnie__2011_1
WAI3234	Hamilton__2016_1
WAI3235	Hamilton__2016_1
WAI324	Lockhart__2001_1
WAI3240	Hamilton__2016_1
WAI3242	Hamilton__2016_1
WAI3245	Hamilton__2016_1
WAI3247	Hamilton__2016_1
WAI3248	Hamilton__2016_1
WAI3249	Hamilton__2016_1
WAI3252	Hamilton__2016_1
WAI3257	Hamilton__2016_1
WAI326	Lockhart__2001_1
WAI3262	Hamilton__2016_1
WAI328	Inverleigh__2012_1
WAI329	Lockhart__2001_1
WAI3490	Longford__2016_1
WAI3497	Longford__2016_1
WAI3507	Longford__2016_1
WAI3510	Longford__2016_1
WAI3514	Longford__2016_1
WAI3522	Longford__2016_1
WAI3524	Longford__2016_1
WAI3526	Longford__2016_1
WAI3527	Longford__2016_1
WAI3528	Longford__2016_1
WAI3530	Longford__2016_1
WAI3532	Longford__2016_1
WAI3534	Longford__2016_1
WAI3576	Hagely__2017_1
WAI3577	Hagely__2017_1
WAI3578	Hagely__2017_1
WAI3579	LakeBolac__2017_2
WAI3580	LakeBolac__2017_2
WAI3581	TwoWells__2017_1
WAI3582	TwoWells__2017_1
WAI3583	TwoWells__2017_1
WAI3584	TwoWells__2017_1
WAI3585	TwoWells__2017_1
WAI3586	PortClinton__2017_1
WAI3587	PortClinton__2017_1
WAI3588	PortClinton__2017_1
WAI3593	Canowindra__2017_1
WAI3595	Canowindra__2017_1
WAI3597	Canowindra__2017_1
WAI3599	Canowindra__2017_1
WAI3607	Canowindra__2017_1
WAI3612	Canowindra__2017_1
WAI3613	Canowindra__2017_1
WAI3615	Canowindra__2017_1
WAI3619	Canowindra__2017_1
WAI3623	Canowindra__2017_1
WAI3625	Canowindra__2017_1
WAI3627	Selborne__2017_1
WAI3628	Selborne__2017_1
WAI3628b	Selborne__2017_1
WAI3629	Selborne__2017_1
WAI3633	Selborne__2017_1
WAI3634	Selborne__2017_1
WAI3635	Selborne__2017_1
WAI3637	Selborne__2017_1
WAI3638	Selborne__2017_1
WAI3639	Selborne__2017_1
WAI3640	Selborne__2017_1
WAI3641	Selborne__2017_1
WAI3643	Canowindra__2017_1
WAI3646	Canowindra__2017_1
WAI3647	Canowindra__2017_1
WAI3649	Canowindra__2017_1
WAI3651	Canowindra__2017_1
WAI3652	Canowindra__2017_1
WAI3654	Canowindra__2017_1
WAI3655	Canowindra__2017_1
WAI3656	LakeBolac__2017_2
WAI3660	LakeBolac__2017_2
WAI3662	LakeBolac__2017_2
WAI3664	LakeBolac__2017_2
WAI3666	LakeBolac__2017_2
WAI3668	Canowindra__2017_1
WAI3669	Canowindra__2017_1
WAI3670	LakeBolac__2017_2
WAI3674	LakeBolac__2017_2
WAI3676	LakeBolac__2017_2
WAI3679	LakeBolac__2017_2
WAI3684	LakeBolac__2017_2
WAI3686	LakeBolac__2017_2
WAI3688	LakeBolac__2017_2
WAI3690	LakeBolac__2017_2
WAI3692	LakeBolac__2017_2
WAI3696	LakeBolac__2017_2
WAI3698	LakeBolac__2017_2
WAI3699	LakeBolac__2017_2
WAI3700	LakeBolac__2017_2
WAI3702	LakeBolac__2017_2
WAI3708	TwoWells__2017_1
WAI3712	TwoWells__2017_1
WAI3716	TwoWells__2017_1
WAI3718	TwoWells__2017_1
WAI3720	TwoWells__2017_1
WAI3721	TwoWells__2017_1
WAI3725	TwoWells__2017_1
WAI3729	TwoWells__2017_1
WAI3731	TwoWells__2017_1
WAI3733	TwoWells__2017_1
WAI3738	TwoWells__2017_1
WAI3742	TwoWells__2017_1
WAI3744	TwoWells__2017_1
WAI3745	Selborne__2017_1
WAI3746	Selborne__2017_1
WAI3748	TwoWells__2017_1
WAI3749	TwoWells__2017_1
WAI3753	TwoWells__2017_1
WAI3758	TwoWells__2017_1
WAI3760	Selborne__2017_1
WAI3814	Selborne__2017_1
WAI3818	Selborne__2017_1
WAI3821	Selborne__2017_1
WAI3824	Selborne__2017_1
WAI3894	Hamilton__2017_2
WAI3895	Hamilton__2017_2
WAI3896	Hamilton__2017_2
WAI3898	Hamilton__2017_2
WAI3899	Hamilton__2017_2
WAI3900	Hamilton__2017_2
WAI3902	Hamilton__2017_2
WAI3903	Hamilton__2017_2
WAI3905	Hamilton__2017_2
WAI3906	Hamilton__2017_2
WAI3907	Hamilton__2017_2
WAI3908	Hamilton__2017_2
WAI3909	Hamilton__2017_2
WAI3910	Hamilton__2017_2
WAI3911	Hamilton__2017_2
WAI3912	Hamilton__2017_2
WAI3913	Hamilton__2017_2
WAI3984	Bordertown__2018_1
WAI3985	Bordertown__2018_1
WAI3986	Bordertown__2018_1
WAI3989	Bordertown__2018_1
WAI3990	Bordertown__2018_1
WAI3991	Bordertown__2018_1
WAI3992	Bordertown__2018_1
WAI3993	Bordertown__2018_1
WAI3994	Bordertown__2018_1
WAI3995	Bordertown__2018_1
WAI3996	Bordertown__2018_1
WAI3997	Bordertown__2018_1
WAI3998	Bordertown__2018_1
WAI55_SRR2866532	Wanilla__2001_1
WAI56_SRR2866534	Turretfield__2001_1
WAI852	LakeBolac__2013_1
WAI864	LakeBolac__2013_1
WAI870	LakeBolac__2013_1
WAI878	LakeBolac__2013_1
WAI884	LakeBolac__2013_1
WAI893	LakeBolac__2013_1
WAI894	LakeBolac__2013_1
WAI897	LakeBolac__2013_1
WAI898	LakeBolac__2013_1
WAI900	LakeBolac__2013_1
WAI904	LakeBolac__2013_1
WAI910	LakeBolac__2013_1
WAI915	LakeBolac__2013_1
WAI918	LakeBolac__2013_1
WAI926	LakeBolac__2013_1
WAI927	LakeBolac__2013_1
WAI948	LakeBolac__2013_1
WAI950	Horsham__2013_1
WAI954	Horsham__2013_1
WAI958	Horsham__2013_1
WAI962	Horsham__2013_1
WAI964	Horsham__2013_1
WAI965	Horsham__2013_1
WAI971	Horsham__2013_1
WAI978	Horsham__2013_1
WAI981	Horsham__2013_1
WAI986	Horsham__2013_1
WAI992	Horsham__2013_1
WAI996	Horsham__2013_1
