chrom,post,pre
1,9057.28774927211,4621.66249569876
2,7735.01063936546,2756.18237511993
3,7951.28980046813,2984.74398293658
4,8188.67614612395,3920.40252367628
5,7906.53443338509,4062.85305135419
6,7919.28562769018,5216.45702695904
7,7401.58530782118,3386.65542989034
8,8509.79395049074,6353.53871613682
9,6988.22007460955,3001.89274248116
10,8216.01075904767,4092.57739597242
11,7621.4696178888,4607.27225091601
12,8159.65212610791,3651.8458351205
13,7348.79185708638,2449.62624933734
14,1888.57741935484,575.679190751445
15,1612.73529411765,1458.64210526316
16,10446.4800903413,2648.15516154783
19,4058.84042553192,6905.88349514563
20,9067.90111873615,3451.33947288559
21,24.5,NA
