"","pop","ID","popname"
"1","pre","SRR3740249","preSRR3740249"
"2","pre","SRR3740250","preSRR3740250"
"3","pre","SRR3740251","preSRR3740251"
"4","pre","SRR3740253","preSRR3740253"
"5","pre","SRR3740254","preSRR3740254"
"6","pre","SRR3740255","preSRR3740255"
"7","pre","SRR3740256","preSRR3740256"
"8","pre","SRR3740257","preSRR3740257"
"9","pre","SRR3740258","preSRR3740258"
"10","pre","SRR3740259","preSRR3740259"
"11","pre","SRR3740260","preSRR3740260"
"12","pre","SRR3740261","preSRR3740261"
"13","pre","SRR3740262","preSRR3740262"
"14","pre","SRR3740263","preSRR3740263"
"15","pre","SRR3740273","preSRR3740273"
"16","pre","SRR3740284","preSRR3740284"
"17","pre","SRR3740295","preSRR3740295"
"18","pre","SRR3740308","preSRR3740308"
"19","pre","SRR3740319","preSRR3740319"
"20","pre","SRR3740330","preSRR3740330"
"21","pre","SRR3740341","preSRR3740341"
"22","post","WAI1002","postWAI1002"
"23","post","WAI1006","postWAI1006"
"24","post","WAI1008","postWAI1008"
"25","post","WAI1012","postWAI1012"
"26","post","WAI1060","postWAI1060"
"27","post","WAI1072","postWAI1072"
"28","post","WAI1272","postWAI1272"
"29","pre","WAI147_SRR2866536","preWAI147_SRR2866536"
"30","post","WAI1641","postWAI1641"
"31","post","WAI1643","postWAI1643"
"32","post","WAI1646","postWAI1646"
"33","post","WAI1652","postWAI1652"
"34","post","WAI1657","postWAI1657"
"35","post","WAI1658","postWAI1658"
"36","post","WAI1659","postWAI1659"
"37","post","WAI1662","postWAI1662"
"38","post","WAI1667","postWAI1667"
"39","post","WAI1669","postWAI1669"
"40","post","WAI1691","postWAI1691"
"41","post","WAI1696","postWAI1696"
"42","post","WAI1698","postWAI1698"
"43","post","WAI1718","postWAI1718"
"44","post","WAI1724","postWAI1724"
"45","post","WAI1728","postWAI1728"
"46","post","WAI1730","postWAI1730"
"47","post","WAI1741","postWAI1741"
"48","post","WAI1745","postWAI1745"
"49","post","WAI1820","postWAI1820"
"50","post","WAI1822","postWAI1822"
"51","post","WAI1848","postWAI1848"
"52","post","WAI1849","postWAI1849"
"53","post","WAI1850","postWAI1850"
"54","post","WAI1851","postWAI1851"
"55","post","WAI1852","postWAI1852"
"56","post","WAI1858","postWAI1858"
"57","post","WAI1859","postWAI1859"
"58","post","WAI1875","postWAI1875"
"59","post","WAI1876","postWAI1876"
"60","post","WAI1877","postWAI1877"
"61","post","WAI1878","postWAI1878"
"62","post","WAI1879","postWAI1879"
"63","post","WAI1880","postWAI1880"
"64","post","WAI1882","postWAI1882"
"65","post","WAI1892","postWAI1892"
"66","post","WAI1895","postWAI1895"
"67","post","WAI1901","postWAI1901"
"68","post","WAI1903","postWAI1903"
"69","post","WAI1904","postWAI1904"
"70","post","WAI1919","postWAI1919"
"71","post","WAI1922","postWAI1922"
"72","post","WAI1939","postWAI1939"
"73","post","WAI1941","postWAI1941"
"74","post","WAI1955","postWAI1955"
"75","post","WAI1957","postWAI1957"
"76","post","WAI1965","postWAI1965"
"77","post","WAI1966","postWAI1966"
"78","post","WAI1967","postWAI1967"
"79","post","WAI1968","postWAI1968"
"80","post","WAI1969","postWAI1969"
"81","post","WAI1970","postWAI1970"
"82","post","WAI1970D","postWAI1970D"
"83","post","WAI1971","postWAI1971"
"84","post","WAI1972","postWAI1972"
"85","post","WAI1993","postWAI1993"
"86","post","WAI1998","postWAI1998"
"87","post","WAI2000","postWAI2000"
"88","post","WAI2029","postWAI2029"
"89","post","WAI2031","postWAI2031"
"90","post","WAI2045","postWAI2045"
"91","post","WAI2047","postWAI2047"
"92","post","WAI2059","postWAI2059"
"93","post","WAI2060","postWAI2060"
"94","post","WAI2061","postWAI2061"
"95","post","WAI2073","postWAI2073"
"96","post","WAI2077","postWAI2077"
"97","post","WAI2203","postWAI2203"
"98","post","WAI2204","postWAI2204"
"99","post","WAI2206","postWAI2206"
"100","post","WAI2208","postWAI2208"
"101","post","WAI2210","postWAI2210"
"102","post","WAI2216","postWAI2216"
"103","post","WAI2226","postWAI2226"
"104","post","WAI2228","postWAI2228"
"105","post","WAI2230","postWAI2230"
"106","post","WAI2232","postWAI2232"
"107","post","WAI2827","postWAI2827"
"108","post","WAI2841","postWAI2841"
"109","post","WAI2843","postWAI2843"
"110","post","WAI2845","postWAI2845"
"111","post","WAI2849","postWAI2849"
"112","post","WAI2878","postWAI2878"
"113","post","WAI2880","postWAI2880"
"114","post","WAI2882","postWAI2882"
"115","post","WAI2889","postWAI2889"
"116","post","WAI2892","postWAI2892"
"117","post","WAI2899","postWAI2899"
"118","post","WAI2902","postWAI2902"
"119","post","WAI2908","postWAI2908"
"120","post","WAI2911","postWAI2911"
"121","post","WAI2911R","postWAI2911R"
"122","post","WAI2914","postWAI2914"
"123","post","WAI2918","postWAI2918"
"124","post","WAI2921","postWAI2921"
"125","post","WAI2925","postWAI2925"
"126","post","WAI2928","postWAI2928"
"127","post","WAI2932","postWAI2932"
"128","post","WAI2935","postWAI2935"
"129","post","WAI2941","postWAI2941"
"130","post","WAI2944","postWAI2944"
"131","post","WAI2946","postWAI2946"
"132","post","WAI2949","postWAI2949"
"133","post","WAI2950","postWAI2950"
"134","post","WAI2951","postWAI2951"
"135","post","WAI2956","postWAI2956"
"136","post","WAI2962","postWAI2962"
"137","post","WAI2970","postWAI2970"
"138","post","WAI2971","postWAI2971"
"139","post","WAI2974","postWAI2974"
"140","post","WAI2976","postWAI2976"
"141","post","WAI2978","postWAI2978"
"142","post","WAI2984","postWAI2984"
"143","post","WAI2987","postWAI2987"
"144","post","WAI2992","postWAI2992"
"145","post","WAI2995","postWAI2995"
"146","post","WAI3001","postWAI3001"
"147","post","WAI3002","postWAI3002"
"148","post","WAI3004","postWAI3004"
"149","post","WAI3009","postWAI3009"
"150","post","WAI3011","postWAI3011"
"151","post","WAI3013","postWAI3013"
"152","post","WAI3016","postWAI3016"
"153","post","WAI3017","postWAI3017"
"154","post","WAI3025","postWAI3025"
"155","post","WAI3032","postWAI3032"
"156","post","WAI3033","postWAI3033"
"157","post","WAI3035","postWAI3035"
"158","post","WAI3041","postWAI3041"
"159","post","WAI3043","postWAI3043"
"160","post","WAI3053","postWAI3053"
"161","post","WAI3054","postWAI3054"
"162","post","WAI3069","postWAI3069"
"163","post","WAI3071","postWAI3071"
"164","post","WAI3076","postWAI3076"
"165","post","WAI3079","postWAI3079"
"166","post","WAI3091","postWAI3091"
"167","post","WAI3093","postWAI3093"
"168","post","WAI3094","postWAI3094"
"169","post","WAI3095","postWAI3095"
"170","post","WAI3100","postWAI3100"
"171","post","WAI3167","postWAI3167"
"172","post","WAI3169","postWAI3169"
"173","post","WAI3171","postWAI3171"
"174","post","WAI3172","postWAI3172"
"175","post","WAI3173","postWAI3173"
"176","post","WAI3178","postWAI3178"
"177","post","WAI3179","postWAI3179"
"178","post","WAI3180","postWAI3180"
"179","post","WAI3189","postWAI3189"
"180","post","WAI3192","postWAI3192"
"181","post","WAI3194","postWAI3194"
"182","post","WAI3199","postWAI3199"
"183","pre","WAI320","preWAI320"
"184","post","WAI3202","postWAI3202"
"185","post","WAI3205","postWAI3205"
"186","post","WAI3208","postWAI3208"
"187","post","WAI321","postWAI321"
"188","post","WAI3212","postWAI3212"
"189","post","WAI3214","postWAI3214"
"190","post","WAI3216","postWAI3216"
"191","post","WAI322","postWAI322"
"192","post","WAI3223","postWAI3223"
"193","post","WAI3226","postWAI3226"
"194","post","WAI323","postWAI323"
"195","post","WAI3234","postWAI3234"
"196","post","WAI3235","postWAI3235"
"197","pre","WAI324","preWAI324"
"198","post","WAI3240","postWAI3240"
"199","post","WAI3242","postWAI3242"
"200","post","WAI3245","postWAI3245"
"201","post","WAI3247","postWAI3247"
"202","post","WAI3248","postWAI3248"
"203","post","WAI3249","postWAI3249"
"204","post","WAI3252","postWAI3252"
"205","post","WAI3257","postWAI3257"
"206","pre","WAI326","preWAI326"
"207","post","WAI3262","postWAI3262"
"208","pre","WAI329","preWAI329"
"209","post","WAI3490","postWAI3490"
"210","post","WAI3497","postWAI3497"
"211","post","WAI3507","postWAI3507"
"212","post","WAI3510","postWAI3510"
"213","post","WAI3514","postWAI3514"
"214","post","WAI3522","postWAI3522"
"215","post","WAI3524","postWAI3524"
"216","post","WAI3526","postWAI3526"
"217","post","WAI3527","postWAI3527"
"218","post","WAI3528","postWAI3528"
"219","post","WAI3530","postWAI3530"
"220","post","WAI3532","postWAI3532"
"221","post","WAI3534","postWAI3534"
"222","post","WAI3576","postWAI3576"
"223","post","WAI3577","postWAI3577"
"224","post","WAI3578","postWAI3578"
"225","post","WAI3579","postWAI3579"
"226","post","WAI3580","postWAI3580"
"227","post","WAI3581","postWAI3581"
"228","post","WAI3582","postWAI3582"
"229","post","WAI3583","postWAI3583"
"230","post","WAI3584","postWAI3584"
"231","post","WAI3585","postWAI3585"
"232","post","WAI3586","postWAI3586"
"233","post","WAI3587","postWAI3587"
"234","post","WAI3588","postWAI3588"
"235","post","WAI3593","postWAI3593"
"236","post","WAI3595","postWAI3595"
"237","post","WAI3597","postWAI3597"
"238","post","WAI3599","postWAI3599"
"239","post","WAI3607","postWAI3607"
"240","post","WAI3612","postWAI3612"
"241","post","WAI3613","postWAI3613"
"242","post","WAI3615","postWAI3615"
"243","post","WAI3619","postWAI3619"
"244","post","WAI3623","postWAI3623"
"245","post","WAI3625","postWAI3625"
"246","post","WAI3627","postWAI3627"
"247","post","WAI3628","postWAI3628"
"248","post","WAI3628b","postWAI3628b"
"249","post","WAI3629","postWAI3629"
"250","post","WAI3633","postWAI3633"
"251","post","WAI3634","postWAI3634"
"252","post","WAI3635","postWAI3635"
"253","post","WAI3637","postWAI3637"
"254","post","WAI3638","postWAI3638"
"255","post","WAI3639","postWAI3639"
"256","post","WAI3640","postWAI3640"
"257","post","WAI3641","postWAI3641"
"258","post","WAI3643","postWAI3643"
"259","post","WAI3646","postWAI3646"
"260","post","WAI3647","postWAI3647"
"261","post","WAI3649","postWAI3649"
"262","post","WAI3651","postWAI3651"
"263","post","WAI3652","postWAI3652"
"264","post","WAI3666","postWAI3666"
"265","post","WAI3670","postWAI3670"
"266","post","WAI3674","postWAI3674"
"267","post","WAI3676","postWAI3676"
"268","post","WAI3679","postWAI3679"
"269","post","WAI3684","postWAI3684"
"270","post","WAI3686","postWAI3686"
"271","post","WAI3688","postWAI3688"
"272","post","WAI3690","postWAI3690"
"273","post","WAI3692","postWAI3692"
"274","post","WAI3696","postWAI3696"
"275","post","WAI3698","postWAI3698"
"276","post","WAI3699","postWAI3699"
"277","post","WAI3700","postWAI3700"
"278","post","WAI3702","postWAI3702"
"279","post","WAI3708","postWAI3708"
"280","post","WAI3712","postWAI3712"
"281","post","WAI3716","postWAI3716"
