"","N_MRK","MEAN_UNIHS","SD_UNIHS","LOWER_QT","UPPER_QT"
"[0.05,0.075)",13150,1.09519259927891,1.35225843691075,-1.24425846415166,3.56206201159394
"[0.075,0.1)",16375,0.403363238321241,1.23584714681801,-1.45911422619377,3.23035394016875
"[0.1,0.125)",15655,0.42311126483933,1.09542528390554,-1.41510535981611,3.00159491565264
"[0.125,0.15)",10664,0.483078645553212,1.07411305163869,-1.41416363264321,2.8528158519879
"[0.15,0.175)",7385,0.572339284499668,1.12684047730258,-1.37298512407891,2.7272188292725
"[0.175,0.2)",6025,0.747222007637767,1.20155007792698,-1.69680505316347,3.0715103872336
"[0.2,0.225)",4044,1.09844280822906,1.05264863295107,-1.28492647257937,3.07324246987453
"[0.225,0.25)",2771,1.17627635557369,1.03095229008192,-1.12458465369215,2.95996740677248
"[0.25,0.275)",1958,1.34280836524218,1.08998122454902,-1.16478187877224,3.19378420285297
"[0.275,0.3)",1659,1.08441900970854,1.41796153131405,-2.29885529663373,3.09551577970032
"[0.3,0.325)",2007,0.897906118592956,1.51041306772508,-2.07467317153903,3.17984115108678
"[0.325,0.35)",1496,0.502548105213458,1.66491398926535,-2.92136532317583,3.20893676554324
"[0.35,0.375)",891,-0.187053017784873,1.94475989161316,-3.80328699764428,2.9976517861793
"[0.375,0.4)",1025,-0.534159730104483,2.04529906808049,-3.62736418747122,3.12889945298985
"[0.4,0.425)",1094,-1.41866842846688,1.7538095725282,-3.59659536996452,2.44771664716896
"[0.425,0.45)",1517,-1.43995165235232,1.60731842389258,-3.55527821319959,2.04279756895975
"[0.45,0.475)",1804,-1.79799756795888,1.21754898841881,-3.54718066846221,1.56857772507934
"[0.475,0.5)",2100,-1.75953236756716,1.24266385556284,-3.56925338439946,1.73367123601035
"[0.5,0.525)",3065,-2.01363084242674,1.14478026180716,-3.96049556788752,1.61362748014335
"[0.525,0.55)",3777,-2.28493315559705,1.00243450007166,-4.18282145637763,-0.145219977101907
"[0.55,0.575)",5615,-2.16917594373911,0.860573601983081,-4.06344552886564,-0.286609337329156
"[0.575,0.6)",8249,-2.17079257801886,0.865938066946042,-3.91924027982725,-0.594348311786734
"[0.6,0.625)",10287,-2.23902846204908,0.931744781598051,-4.06337421153292,-0.562729611317402
"[0.625,0.65)",10788,-2.32726144386412,0.913813417577886,-4.27230466585892,-0.600475150564121
"[0.65,0.675)",11647,-2.27073738330975,0.846893508037137,-3.98961735131173,-0.619128160360864
"[0.675,0.7)",11746,-2.23206462103853,0.919706445211729,-4.02982331422824,-0.438601118402691
"[0.7,0.725)",11739,-2.29123301654333,0.928633157129381,-3.99779623577042,-0.395058054233539
"[0.725,0.75)",11938,-2.18148604656844,0.888628540911954,-3.8959198626891,-0.4533853276476
"[0.75,0.775)",10915,-1.99254045029333,0.919096355113106,-3.93722754434552,-0.41085226487703
"[0.775,0.8)",9740,-1.98302126092223,1.01676942726358,-4.27217035061054,0.186586165912727
"[0.8,0.825)",10064,-2.03282313995632,1.00860669324851,-4.11764126883318,-0.153198577235347
"[0.825,0.85)",8917,-1.81081309854083,0.91282418511529,-3.82895220507793,-0.140354003431548
"[0.85,0.875)",7724,-1.906681366626,1.03277870784995,-4.01259525384324,0.132021598615028
"[0.875,0.9)",6014,-1.82089146172879,1.10136824611525,-4.17355259625825,0.109073836835714
"[0.9,0.925)",5564,-1.80551395612578,1.11662552016472,-4.22223757584084,0.23509806206698
"[0.925,0.95)",4099,-2.10557431896134,1.22817562344159,-4.45886726889594,0.689648856005416
