"","N_MRK","MEAN_UNIHS","SD_UNIHS","LOWER_QT","UPPER_QT"
"[0.05,0.075)",20357,1.08956245993429,1.55865126265289,-1.214693433063,4.80813789507807
"[0.075,0.1)",0,NA,NA,NA,NA
"[0.1,0.125)",15624,0.807247176704974,1.02749815116895,-0.891460800053886,3.28801852274878
"[0.125,0.15)",15557,0.692734806085106,0.867587396107521,-0.864902232217719,2.62059533669581
"[0.15,0.175)",0,NA,NA,NA,NA
"[0.175,0.2)",12668,0.65075775242957,0.823913333361738,-0.899317896871689,2.3621403419333
"[0.2,0.225)",12307,0.632975320898237,0.786285114449487,-0.814733179484202,2.24340957133464
"[0.225,0.25)",0,NA,NA,NA,NA
"[0.25,0.275)",10933,0.592709434786244,0.790286806680287,-0.837270191049447,2.42236834552928
"[0.275,0.3)",10100,0.487167915860325,0.797250644476882,-0.977905380640512,2.21115301587938
"[0.3,0.325)",8862,0.448833491686604,0.792599037372016,-1.15834793303215,2.14734927322629
"[0.325,0.35)",0,NA,NA,NA,NA
"[0.35,0.375)",8484,0.432259597201195,0.797011022400575,-0.965571540770886,1.98918369701607
"[0.375,0.4)",6952,0.246925201534268,0.754185945365099,-1.15477862973115,1.778074083076
"[0.4,0.425)",0,NA,NA,NA,NA
"[0.425,0.45)",6835,0.253647152955276,0.766902367255053,-1.16092035446759,1.59539499574361
"[0.45,0.475)",6692,0.200410803973155,0.770511313440204,-1.32040828233496,1.69980940131881
"[0.475,0.5)",0,NA,NA,NA,NA
"[0.5,0.525)",6324,0.194106822258376,0.781897950325914,-1.22827030376191,1.70803036072255
"[0.525,0.55)",5899,0.0906963205390826,0.755412180142767,-1.48045914204915,1.39346959992149
"[0.55,0.575)",6358,-0.0799032473788145,0.770493018727422,-1.73402461179536,1.3091260261128
"[0.575,0.6)",0,NA,NA,NA,NA
"[0.6,0.625)",3991,-0.128000757005337,0.740589097688484,-1.77917917235738,1.24239330655425
"[0.625,0.65)",5005,-0.111824678421702,0.729068262909599,-1.68409206997443,1.24086278959471
"[0.65,0.675)",0,NA,NA,NA,NA
"[0.675,0.7)",4274,-0.211464249327413,0.788996479821212,-1.9552402321966,1.20690078178171
"[0.7,0.725)",4230,-0.257580545777505,0.742727891866116,-1.63400631206804,1.33615420683833
"[0.725,0.75)",3445,-0.394440061934949,0.760982863852199,-2.06179519020636,1.08792745903375
"[0.75,0.775)",0,NA,NA,NA,NA
"[0.775,0.8)",2738,-0.410293664306653,0.835000593523727,-2.24423318397609,1.13559836983328
"[0.8,0.825)",2913,-0.362648683558598,0.880133011180973,-2.50609287985638,1.22635224424272
"[0.825,0.85)",0,NA,NA,NA,NA
"[0.85,0.875)",2788,-0.746066306078426,0.991612041667431,-2.55709141457537,1.09046221557034
"[0.875,0.9)",2071,-0.738228302546631,1.05381469791833,-3.75303397591256,1.13747617158108
"[0.9,0.925)",0,NA,NA,NA,NA
"[0.925,0.95)",2065,-1.04833337995848,1.58963858244732,-5.46004976446696,1.04625552839868
