"","w_cultivar","ID","Year","REP","TRT","percent_necrosis","percent_pycnidia","disease_severity"
"1","Arina","WAI3894",2018,1,11,0,0,1
"2","Arina","WAI3894",2018,2,11,5,0,1
"3","AUS4203","WAI3894",2018,1,19,0,0,1
"5","AUS4204","WAI3894",2018,1,20,20,0,2
"6","AUS4204","WAI3894",2018,2,20,18,0,2
"7","Bulgaria_88","WAI3894",2018,1,1,18,0,1.5
"8","Bulgaria_88","WAI3894",2018,2,1,3,0,1
"9","CPI133872","WAI3894",2018,1,5,2,0,1
"10","CPI133872","WAI3894",2018,2,5,3,0,1
"11","Currawong","WAI3894",2018,1,7,90,1,4.5
"12","Currawong","WAI3894",2018,2,7,80,8,4
"14","Hereward","WAI3894",2018,2,6,85,5,4.5
"15","Israel_493","WAI3894",2018,1,3,10,0,1.5
"16","Israel_493","WAI3894",2018,2,3,12,3,1.5
"17","Kavkaz-K4500L.6.A.4","WAI3894",2018,1,12,0,0,1
"18","Kavkaz-K4500L.6.A.4","WAI3894",2018,2,12,0,0,1
"19","Lorikeet","WAI3894",2018,1,9,100,25,5
"20","Lorikeet","WAI3894",2018,2,9,100,12,5
"21","MI696","WAI3894",2018,1,13,1,0,1
"22","MI696","WAI3894",2018,2,13,0,0,1
"23","Milan","WAI3894",2018,1,14,5,0,1
"24","Milan","WAI3894",2018,2,14,5,0,1
"25","Millewa","WAI3894",2018,1,15,8,0,1
"26","Millewa","WAI3894",2018,2,15,10,0,1.5
"27","Summit","WAI3894",2018,1,16,100,30,5
"28","Summit","WAI3894",2018,2,16,100,15,5
"29","Tadorna","WAI3894",2018,1,4,75,12,4.5
"30","Tadorna","WAI3894",2018,2,4,100,2,5
"31","Thornbill","WAI3894",2018,1,18,100,2,5
"32","Thornbill","WAI3894",2018,2,18,100,15,5
"33","Vernopolis","WAI3894",2018,1,2,33,7,3
"34","Vernopolis","WAI3894",2018,2,2,85,3,4.5
"35","W7984","WAI3894",2018,1,8,5,0,1
"36","W7984","WAI3894",2018,2,8,3,0,1
"37","WW11288","WAI3894",2018,1,17,100,12,5
"38","WW11288","WAI3894",2018,2,17,38,5,3
"39","WW2449","WAI3894",2018,1,10,100,25,5
"40","WW2449","WAI3894",2018,2,10,100,10,5
"41","Arina","WAI3895",2018,1,11,3,0,1
"42","Arina","WAI3895",2018,2,11,0,0,1
