Chrom,Position,Likelihood,Alpha,StartPos,EndPos
1,8336,0.008874758,365.5727,8336,8678
1,14632.4746,0.4887868,0.06161949,14593,14660
1,20928.9492,0.6896189,0.02099745,20867,21385
1,27225.4238,1.463403,0.0004845303,8336,51543
1,33521.8984,0.380744,0.002514869,22295,37151
1,39818.373,0.1521737,0.01432042,39625,40383
1,46114.8477,0.3038441,0.003631854,43153,49600
1,52411.3223,0.7603719,0.00216306,49555,56146
1,58707.7969,1.360615,0.001006325,49555,74310
1,65004.2715,0.1707791,0.0004496203,39625,91647
1,71300.7461,0.09037156,0.001568923,55815,78250
1,77597.2207,0,0.2222223,77543,77770
1,83893.6953,0.06999229,0.01979192,83788,84388
1,90190.1699,0,0.3870969,90159,90255
1,96486.6445,3.218466,0.002237203,91132,101627
1,102783.1191,0.2169562,0.006689201,101137,104569
1,109079.5938,0.1507527,0.03692652,108980,109332
1,115376.0684,2.629189,0.3163685,115226,115377
1,121672.543,0.09205682,0.02136976,121216,122218
1,127969.0176,7.819004,0.001756964,121216,133915
1,134265.4922,0,0.03428572,133915,135091
1,140561.9668,2.771949e-09,0.05042016,139438,140799
1,146858.4414,0.2335799,0.08582713,146727,146952
1,153154.916,2.046956,0.001810724,146556,159669
1,159451.3906,0.7351113,0.002126119,155861,164839
1,165747.8652,0.1011661,0.1142414,165656,165839
1,172044.3398,2.759817,0.01238216,171157,172969
1,178340.8145,0.02550499,1.611806,178334,178343
1,184637.2891,1.145054e-07,0.002854424,180437,192594
1,190933.7637,6.325571e-09,0.007330485,180288,192522
1,197230.2383,0.1284622,0.2437151,197215,197269
1,203526.7129,1.960312,0.02448339,203052,203959
1,209823.1875,6.915251e-08,0.04137932,209345,210095
1,216119.6621,0.4697169,0.03071039,215826,216230
1,222416.1367,0,1.2,222406,222524
1,228712.6113,0,0.3076924,228673,228808
1,235009.0859,0.2152163,0.001476904,226907,243086
1,241305.5605,0.1478586,0.05113106,240573,241352
1,247602.0352,9.507072,0.0005690436,226582,268683
1,253898.5098,7.604793,0.0002806053,211306,296602
1,260194.9844,1.550998,0.001945879,241892,265646
1,266491.459,0.03402765,0.01264957,265607,267335
1,272787.9336,1.264039,0.04910438,272613,273028
1,279084.4082,0.03231763,0.005204093,276782,281389
1,285380.8828,0.005387883,2.780575,285378,285395
1,291677.3574,0.06280504,0.08470849,291609,291786
1,297973.832,0.01134088,0.01837048,296802,298583
1,304270.3066,0.1284798,0.04458202,304188,306377
1,310566.7812,3.339337,0.002539984,306377,315160
1,316863.2559,4.00642,0.005222828,314624,319079
1,323159.7305,1.281029,0.002894069,319037,325464
1,329456.2051,52.13755,0.0004941825,306377,352599
1,335752.6797,1.374467,0.06243653,335563,335988
1,342049.1543,0,0.02803739,341446,342477
1,348345.6289,5.906014,0.003364635,344969,351877
1,354642.1035,51.67893,0.0004782743,334460,379694
1,360938.5781,2.237566,0.01750683,360355,361435
1,367235.0527,1.72966,0.002233502,361905,372475
1,373531.5273,0.296737,0.003378626,372095,375423
1,379828.002,0.1913114,0.9212801,379825,379885
1,386124.4766,0.1150334,0.2117143,385850,386138
1,392420.9512,2.425348,0.01446356,391605,393194
1,398717.4258,7.163782,0.008544591,397361,399868
1,405013.9004,0.6016244,0.007427965,403439,406411
1,411310.375,3.243071,0.00914403,410194,412485
1,417606.8496,3.324041,0.001570074,410194,424914
1,423903.3242,3.44757,0.01205584,422914,424895
1,430199.7988,40.17825,0.0001262528,335171,525179
1,436496.2734,10.25657,0.003046334,434699,440022
1,442792.748,11.54098,0.008875953,441575,443778
1,449089.2227,2.392381,0.009054424,447872,449828
1,455385.6973,1.440961,0.2420893,455345,455430
1,461682.1719,2.025204,0.1856157,461622,461736
1,467978.6465,2.866837,0.005923906,467264,469749
1,474275.1211,0.6545824,0.002579522,469726,478904
1,480571.5957,3.065356,0.001846326,474862,499454
1,486868.0703,1.22166,0.0005009865,463488,510800
1,493164.5449,0,0.00232468,478998,498326
1,499461.0195,0,1.714286,499454,499528
1,505757.4941,0,0.5217393,505669,505780
1,512053.9688,0.5377233,0.04578679,511800,512083
1,518350.4434,0.5054569,0.01333596,517539,519234
1,524646.918,0.8408429,0.04543925,524432,524887
1,530943.3926,0.1315184,0.07509874,530939,531017
1,537239.8672,0.8476068,0.1526227,537163,538075
1,543536.3418,0.8378211,0.0361924,543352,543847
1,549832.8164,27.67703,0.0005193072,526794,572923
1,556129.291,16.20534,0.0003205917,518893,593522
