Chrom,Position,Likelihood,Alpha,StartPos,EndPos
1,8336,57.96119,2.186695e-05,8336,554605
1,14632.3105,50.80693,2.330655e-05,8336,529505
1,20928.6211,7.130518,2.505411e-05,8336,499859
1,27224.9316,38.2799,2.568657e-05,8336,479334
1,33521.2422,35.1298,2.74875e-05,8336,470019
1,39817.5527,29.74246,2.976714e-05,8336,442567
1,46113.8633,23.2854,3.251748e-05,8336,415014
1,52410.1738,15.67536,3.725026e-05,8336,368845
1,58706.4844,6.688877,4.338078e-05,8336,325464
1,65002.7949,4.0148e-08,0.001258389,20867,74538
1,71299.1055,3.408285e-08,0.003704847,20867,74538
1,77595.416,0.002990048,0.0655549,77428,78250
1,83891.7266,0.1529967,0.02462499,83788,84368
1,90188.0371,1.145337e-09,0.413793,90159,90255
1,96484.3477,2.376467e-09,0.06703908,96195,96663
1,102780.6582,2.876286e-09,0.2181818,102625,102835
1,109076.9688,2.235179,0.006181466,107352,110679
1,115373.2793,0.2637077,0.4235424,115226,115377
1,121669.5898,0.2169684,0.1211242,121615,121723
1,127965.9004,2.705623e-08,0.01452784,127139,129336
1,134262.2109,1.575671,0.003422203,133052,137734
1,140558.5215,0.9564248,0.004719135,138064,142964
1,146854.832,0.00391577,0.132444,146766,146889
1,153151.1426,0.002683396,0.01766246,152191,153619
1,159447.4531,2.612287e-09,0.05405405,158056,159669
1,165743.7637,2.554462e-08,0.01145038,164695,166947
1,172040.0742,0.7569724,0.0207281,171486,172720
1,178336.3848,3.532737e-09,0.06217616,177890,178529
1,184632.6953,6.856002e-09,0.002516778,179864,192594
1,190929.0059,0.4712346,0.0001751705,122434,242036
1,197225.3164,2.884316,0.0003085025,159669,230497
1,203521.627,0.4488217,0.03738702,203372,203798
1,209817.9375,1.253899,0.001020709,200693,219345
1,216114.248,2.223152,0.000686478,200693,230497
1,222410.5586,0.06133881,0.07375103,222406,222544
1,228706.8691,3.078783e-09,0.3636364,228673,228803
1,235003.1797,3.078781e-09,0.006853226,230497,236754
1,241299.4902,0.05239813,0.007048717,239687,242036
